formulation_group,n,mean,sd,median,q1,q3,display_type,standard_reference_value,standard_display_type,y_axis_min,y_axis_max,plotted_value_formula,standard_plotted_as_bar
GPT-5.4,3,0.6252354048964218,0.006523731855250013,0.6290018832391714,0.6233521657250471,0.6290018832391714,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.8,K4M / (K4M + K100LV),False
Qwen,3,0.6080938106154118,0.03654119540358981,0.6261682242990655,0.596102980074061,0.6291218479985894,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.8,K4M / (K4M + K100LV),False
Gemini 2.5 Flash,3,0.5500125502008033,0.013585990897722706,0.5421686746987953,0.5421686746987953,0.5539344879518073,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.8,K4M / (K4M + K100LV),False
