source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,relative_uv_signal_per_h,AUC_0_8h_denominator,integral_0_8h
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,1.0,0.07566666666666666,0.03899841085770733,1.9402500000000003,0.9999999999999998
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,2.0,0.16066666666666665,0.08280719838508781,1.9402500000000003,0.9999999999999998
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,4.0,0.49733333333333335,0.2563243568268694,1.9402500000000003,0.9999999999999998
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,6.0,0.2866666666666666,0.14774728342567534,1.9402500000000003,0.9999999999999998
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,8.0,0.03933333333333333,0.02027230167933685,1.9402500000000003,0.9999999999999998
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,0.0,0.0,0.0,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,0.5,0.005666666666666667,0.0034153691612255144,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,1.0,0.03266666666666667,0.019688598694123555,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,2.0,0.151,0.09100954294324458,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,4.0,0.4386666666666667,0.2643897538925163,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,6.0,0.25633333333333336,0.1544952285283777,1.659166666666667,0.9999999999999999
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,8.0,0.015333333333333332,0.009241587142139627,1.659166666666667,0.9999999999999999
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,0.0,0.0,0.0,2.2729166666666667,1.0
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,0.5,0.12033333333333333,0.05294225481209899,2.2729166666666667,1.0
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,1.0,0.129,0.056755270394133826,2.2729166666666667,1.0
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,2.0,0.24133333333333332,0.10617781851512373,2.2729166666666667,1.0
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,4.0,0.5413333333333333,0.23816681943171403,2.2729166666666667,1.0
