source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,interval_mean_signal,duration_h,n_technical_measurements,interval_start_h,interval_end_h,interval_auc,AUC_0_8h_denominator,interval_auc_fraction,sum_interval_auc_fraction_0_8h,y_variable,normalization_formula,auc_method
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,2.0,0.16866666666666666,1.0,3,1.0,2.0,0.16866666666666666,2.3104999999999998,0.07300007213445864,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,4.0,0.6463333333333333,2.0,3,2.0,4.0,1.2926666666666666,2.3104999999999998,0.5594748611411672,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,6.0,0.3906666666666667,2.0,3,4.0,6.0,0.7813333333333334,2.3104999999999998,0.3381663420616029,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,8.0,0.028999999999999998,2.0,3,6.0,8.0,0.057999999999999996,2.3104999999999998,0.025102791603549016,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,0.5,0.057666666666666665,0.5,3,0.0,0.5,0.028833333333333332,2.296,0.012558072009291522,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,1.0,0.07833333333333332,0.5,3,0.5,1.0,0.03916666666666666,2.296,0.017058652729384435,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,2.0,0.2373333333333333,1.0,3,1.0,2.0,0.2373333333333333,2.296,0.10336817653890824,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,4.0,0.6046666666666667,2.0,3,2.0,4.0,1.2093333333333334,2.296,0.5267131242740999,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,6.0,0.35666666666666663,2.0,3,4.0,6.0,0.7133333333333333,2.296,0.31068524970963995,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,8.0,0.034,2.0,3,6.0,8.0,0.068,2.296,0.02961672473867596,1.0,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,0.5,0.07033333333333334,0.5,3,0.0,0.5,0.03516666666666667,1.8803333333333332,0.018702357737989724,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,1.0,0.07566666666666666,0.5,3,0.5,1.0,0.03783333333333333,1.8803333333333332,0.02012054600248183,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,2.0,0.16066666666666665,1.0,3,1.0,2.0,0.16066666666666665,1.8803333333333332,0.0854458429356497,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,4.0,0.49733333333333335,2.0,3,2.0,4.0,0.9946666666666667,1.8803333333333332,0.5289842226555576,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
