source_formulation_group,formulation_group,n_rows,n_replicates,missing_k4m,missing_k100lv,missing_relative_fraction,mean_relative_k4m_fraction,sd_relative_k4m_fraction,group_standardization_note
gpt-5.4,GPT-5.4,3,3,0,0,0,0.3857433550012453,0.0004548334989048292,source group standardized for Fig. 5a display
Gemini 2.5 Flash,Gemini 2.5 Flash,1,1,0,0,0,0.43760336791459925,,
Gemini 2.6 Flash,Gemini 2.5 Flash,1,1,0,0,0,0.4470192452262817,,source group standardized for Fig. 5a display
Gemini 2.7 Flash,Gemini 2.5 Flash,1,1,0,0,0,0.3881565338398179,,source group standardized for Fig. 5a display
Standard,Standard,3,3,0,0,0,0.4716981132075471,6.798699777552591e-17,
qwen3.6-plus,qwen3.6-plus,3,3,0,0,0,0.41035908068170723,0.02710992579044215,
