formulation_group,n,mean,sd,median,q1,q3,display_type,standard_reference_value,standard_display_type,y_axis_min,y_axis_max,plotted_value_formula,standard_plotted_as_bar
GPT-5.4,3,0.3857433550012453,0.0004548334989048292,0.38565629228687415,0.3854973190757679,0.3859458595695371,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.6,K4M / (K4M + K100LV),False
Qwen,3,0.41035908068170723,0.02710992579044215,0.39473684210526316,0.3947071671058566,0.41819987496933586,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.6,K4M / (K4M + K100LV),False
Gemini 2.5 Flash,3,0.42425971566023296,0.031618736368735946,0.43760336791459925,0.4128799508772086,0.4423113065704405,model bar with individual points and mean +/- SD,0.4716981132075471,horizontal dashed reference line; no Standard bar or error bar,0.0,0.6,K4M / (K4M + K100LV),False
