group_type,group_value,same_count,different_count,unknown_count,total_count,same_ratio,different_ratio,unknown_ratio
OVERALL,ALL,149,25,0,174,85.63,14.37,0.0
MODEL_BUCKET,slot_1,36,6,0,42,85.71,14.29,0.0
MODEL_BUCKET,slot_2,36,6,0,42,85.71,14.29,0.0
MODEL_BUCKET,slot_3,33,9,0,42,78.57,21.43,0.0
MODEL_BUCKET,unassigned,44,4,0,48,91.67,8.33,0.0
DRUG,咪唑斯汀缓释片10mg,9,0,0,9,100.0,0.0,0.0
DRUG,地诺孕素片2mg,43,2,0,45,95.56,4.44,0.0
DRUG,替米沙坦片80mg,53,19,0,72,73.61,26.39,0.0
DRUG,硝苯地平控释片30mg,44,4,0,48,91.67,8.33,0.0
